date,channel,campaign_name,campaign_type,spend,revenue,clicks,impressions,conversions,budget
2025-02-21,Google,Search_Campaign_01,SEARCH,0.0,0.0,0.0,1.0,0.0,50.0
2024-01-01,Google,Search_TM_Campaign_01,SEARCH,46.98,549.98808538,158.0,481.0,4.193582,90.0
2024-01-02,Google,Search_TM_Campaign_01,SEARCH,53.558564,670.81681702,244.0,818.0,4.083258,90.0
2024-01-03,Google,Search_TM_Campaign_01,SEARCH,75.7,601.39843131,357.0,1079.0,10.356219,90.0
2024-01-04,Google,Search_TM_Campaign_01,SEARCH,95.3,1802.78762954,382.0,1384.0,14.30958,90.0
2024-01-05,Google,Search_TM_Campaign_01,SEARCH,92.73,1168.57615885,390.0,1308.0,9.437749,90.0
2024-01-06,Google,Search_TM_Campaign_01,SEARCH,101.41,1140.09175736,457.0,1496.0,8.069344000000001,90.0
2024-01-07,Google,Search_TM_Campaign_01,SEARCH,119.81,501.0218567,428.0,1428.0,8.196562,90.0
2024-01-08,Google,Search_TM_Campaign_01,SEARCH,135.03,1304.8251472000002,375.0,1264.0,10.616358,90.0
2024-01-09,Google,Search_TM_Campaign_01,SEARCH,113.06,549.46462411,357.0,1272.0,10.529519,90.0
2024-01-10,Google,Search_TM_Campaign_01,SEARCH,105.65,824.36940512,273.0,1117.0,11.071182,90.0
2024-01-11,Google,Search_TM_Campaign_01,SEARCH,113.12,545.78077408,324.0,1204.0,6.263908,90.0
2024-01-12,Google,Search_TM_Campaign_01,SEARCH,141.87,1813.30443774,382.0,1294.0,17.002741999999998,90.0
2024-01-13,Google,Search_TM_Campaign_01,SEARCH,118.89,413.73079936,411.0,1535.0,5.021881,90.0
2024-01-14,Google,Search_TM_Campaign_01,SEARCH,133.22,1300.8417844,435.0,1457.0,14.026831,90.0
2024-01-15,Google,Search_TM_Campaign_01,SEARCH,129.25,480.55188382,380.0,1359.0,9.007375,90.0
2024-01-16,Google,Search_TM_Campaign_01,SEARCH,138.03,757.6478475,356.0,1202.0,9.420354,90.0
